Ticker,w_MV_allow,w_CVaR_allow,w_MV_long,w_CVaR_long
JCI,-0.006227604408020699,-0.013076947848342776,0.0,0.0
JPM,0.0018352653139119953,-0.006414516819057233,8.051567412527694e-20,0.0
K,0.1251097086289957,0.15076801259583447,0.12671975850029052,0.10399771736301165
KDP,-0.01822398409500517,-0.013948586344967605,2.608011803944025e-19,0.0
KEY,-0.025797578094666405,-0.019924264533629627,0.0,0.0
KEYS,0.026942037929801724,0.029950189060544138,0.0,0.0
KMB,-0.010947460903024403,-0.0338688649628227,4.46087149810306e-19,0.0
KIM,-0.12568326290656395,-0.10008512194054645,0.0,0.0
KMI,0.01993219002461152,0.07997910431786981,2.3293957452651116e-19,0.0
KKR,0.005492384769719537,-0.039560725458379443,1.2109755122514197e-19,0.0
KLAC,-0.01077825440144507,-0.02581288492968418,4.41400982919786e-20,0.0
KHC,-0.0012934025181708308,-0.030575711863319466,0.0,0.0
KR,0.003977890885025384,0.043573535857255284,0.051179490341631766,0.07143138631089001
LHX,-0.045057402379862374,-0.08001548763356614,3.193835918125567e-19,0.0
LH,-0.024771929816529623,-0.05531055459166198,0.0,0.0
LRCX,-0.003323560595483192,-0.003044624631561226,0.0,0.0
LW,0.015961047222091705,0.0037725389817431045,0.0,0.0
LVS,-0.006634022171868986,-0.06891763389976568,0.0,0.0
LDOS,-0.011843677256634011,0.010895433435770761,0.0,0.0
LEN,-0.03187586531684396,0.0016005187792218218,2.192809420389562e-19,0.0
LII,-0.03986323338398268,-0.04719132127274733,0.0,0.0
LLY,-9.020144629108446e-05,0.007840196774209551,0.006293434894829481,0.0
LIN,0.0616820186755004,0.0002916875192249336,1.4331796874120048e-19,0.0
LYV,-0.03069879493571616,-0.0328774329852606,0.0,0.0
LKQ,0.044236148099666826,0.04871956465616455,0.0,0.0
LMT,0.07641505564905156,0.10685453748251515,0.02935141007806733,0.014981313910699498
L,0.03469428691822728,-0.03699849569538149,8.60444644389032e-21,0.0
LOW,-0.03771159971973982,-0.07472063241706993,1.2346508408284275e-19,0.0
LULU,0.019113766914999712,0.035217959410894235,2.1773408039774743e-21,0.0
LYB,0.002319762242292161,-0.015003744350095992,0.0,0.0
MTB,-0.02529501478871182,0.013013611016174126,4.457624738432413e-21,0.0
MPC,-0.0035202200670754915,-0.022742683566930447,0.0,0.005582483951520492
MAR,-0.0588673485230995,-0.011901340862280417,0.0,0.0
MMC,0.003477385076324594,0.05371648087235368,2.2678672570216295e-20,0.0
MLM,-0.04260624871808759,-0.053165225029600374,0.0,0.0
MAS,0.06926211577579709,0.08148842583173535,0.0,0.0
MA,-0.07103642373838147,-0.09794344103918477,0.0,0.0
MTCH,0.0030931465331851785,0.03530215763547586,0.0,0.0
MKC,-0.037318359947322334,-0.07350170767273612,0.0,0.0
MCD,-0.009812863697837272,0.03163543023404184,0.012715556770705903,0.06011004714331401
MCK,0.029212510855274404,0.006360329854959953,0.019536419430381816,0.02075587319337125
MDT,0.022134081872685687,0.03344105762152291,0.0,0.0
MRK,0.04300065454786659,0.031139596062428096,0.009296184993095917,0.009191689862953371
META,-0.01816916065414532,-0.04010250710107048,0.0,0.0
MET,-0.06576909494051845,-0.11933607973088824,0.0,0.0
MTD,0.03389990364485173,0.057504721529951744,1.2903049601226766e-20,0.0
MGM,-0.009907136885997935,0.018363255189711082,6.3402043542436284e-21,0.0
MCHP,0.00886047512513088,-0.015961926731172887,1.4551484243299806e-19,0.0
MU,0.006082763891818011,0.012031339126659976,0.0,0.0
MSFT,0.039042750823910934,0.057939667217035154,0.029961720704540683,0.0
MAA,0.010214605204495164,0.03458055024695797,8.422409492288539e-20,0.0
MRNA,0.02215864712933872,0.02278425520929211,0.0,0.0
MHK,0.0033668422362044597,0.024089090338070995,1.1504609972596398e-19,0.0
MOH,-0.055675264426810346,-0.08098830096920488,0.0,0.0
